sample_id_segformer,image_id_segformer,image_path_segformer,class_name_segformer,image_label_segformer,gt_area_segformer,gt_area_ratio_segformer,mask_quartile_segformer,pred_area_segformer,pred_area_ratio_segformer,dice_segformer,iou_segformer,image_score_segformer,image_pred_label_segformer,case_key,sample_id_efficientnet,image_id_efficientnet,image_path_efficientnet,class_name_efficientnet,image_label_efficientnet,gt_area_efficientnet,gt_area_ratio_efficientnet,mask_quartile_efficientnet,pred_area_efficientnet,pred_area_ratio_efficientnet,dice_efficientnet,iou_efficientnet,image_score_efficientnet,image_pred_label_efficientnet,dice_diff_segformer_minus_efficientnet,failure_group
forged__4957,4957,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4957.png,forged,1,14777,0.10021294487847222,Q1,9289,0.06299506293402778,0.023186237849982604,0.011729095728710098,0.97607421875,1,4957|forged,forged__4957,4957,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/4957.png,forged,1,14777,0.10021294487847222,Q1,13911,0.09434000651041667,0.6164947016187379,0.4456034265586012,0.98876953125,1,-0.5933084637687552,efficientnet_success_segformer_failure
forged__29663,29663,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/29663.png,forged,1,1436,0.009738498263888888,Q2,0,0.0,6.963788300350711e-11,6.963788300350711e-11,0.814453125,1,29663|forged,forged__29663,29663,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/29663.png,forged,1,1436,0.009738498263888888,Q2,997,0.006761338975694444,0.5548705302279133,0.3839590444036428,0.98779296875,1,-0.5548705301582755,efficientnet_success_segformer_failure
forged__5385,5385,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/5385.png,forged,1,810,0.0054931640625,Q2,0,0.0,1.234567901082152e-10,1.234567901082152e-10,0.9111328125,1,5385|forged,forged__5385,5385,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/5385.png,forged,1,810,0.0054931640625,Q2,378,0.0025634765625,0.5521885522262467,0.3813953489091401,0.94140625,1,-0.5521885521027899,efficientnet_success_segformer_failure
forged__15579,15579,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/15579.png,forged,1,1259,0.008538140190972222,Q1,0,0.0,7.942811754730515e-11,7.942811754730515e-11,0.8193359375,1,15579|forged,forged__15579,15579,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/15579.png,forged,1,1259,0.008538140190972222,Q1,466,0.0031602647569444445,0.5298550724910228,0.36041009468766483,0.9833984375,1,-0.5298550724115947,efficientnet_success_segformer_failure
forged__8130,8130,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8130.png,forged,1,1390,0.009426540798611112,Q1,497,0.0033704969618055555,5.299417063842108e-11,5.299417063842108e-11,0.9208984375,1,8130|forged,forged__8130,8130,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8130.png,forged,1,1390,0.009426540798611112,Q1,551,0.0037367078993055555,0.4626481195537018,0.3009383378484626,0.96533203125,1,-0.4626481195007076,efficientnet_success_segformer_failure
forged__32722,32722,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/32722.png,forged,1,3916,0.026557074652777776,Q3,997,0.006761338975694444,2.0354162425801868e-11,2.0354162425801868e-11,0.92529296875,1,32722|forged,forged__32722,32722,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/32722.png,forged,1,3916,0.026557074652777776,Q3,1155,0.007832845052083334,0.45553145337299283,0.29494382024272364,0.93798828125,1,-0.45553145335263867,efficientnet_success_segformer_failure
forged__50907,50907,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/50907.png,forged,1,11312,0.07671440972222222,Q3,101,0.0006849500868055555,0.017699115052854646,0.008928571437332666,0.8720703125,1,50907|forged,forged__50907,50907,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/50907.png,forged,1,11312,0.07671440972222222,Q3,5362,0.03636338975694445,0.46455559554117454,0.30255448793607875,0.9716796875,1,-0.4468564804883199,efficientnet_success_segformer_failure
forged__51796,51796,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/51796.png,forged,1,1645,0.011155870225694444,Q3,0,0.0,6.079027355253554e-11,6.079027355253554e-11,0.93115234375,1,51796|forged,forged__51796,51796,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/51796.png,forged,1,1645,0.011155870225694444,Q3,1128,0.007649739583333333,0.4428416877229412,0.2843909217561653,0.9794921875,1,-0.44284168766215093,efficientnet_success_segformer_failure
forged__1008,1008,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1008.png,forged,1,8990,0.060967339409722224,Q3,599,0.004062228732638889,0.05694024403945207,0.02930442250934624,0.890625,1,1008|forged,forged__1008,1008,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/1008.png,forged,1,8990,0.060967339409722224,Q3,4477,0.030361599392361112,0.4871166555321369,0.32197899284065984,0.9912109375,1,-0.4301764114926848,efficientnet_success_segformer_failure
forged__8259,8259,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8259.png,forged,1,9285,0.06296793619791667,Q3,1083,0.007344563802083333,0.20621141976074253,0.11495859770819487,0.92041015625,1,8259|forged,forged__8259,8259,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/8259.png,forged,1,9285,0.06296793619791667,Q3,19555,0.13261583116319445,0.6065187239958165,0.43525430477040283,0.9970703125,1,-0.400307304235074,efficientnet_success_segformer_failure
forged__55394,55394,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/55394.png,forged,1,2202,0.014933268229166666,Q4,0,0.0,4.54132606700539e-11,4.54132606700539e-11,0.409423828125,0,55394|forged,forged__55394,55394,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/forged/55394.png,forged,1,2202,0.014933268229166666,Q4,1598,0.010837131076388888,0.3942105263317313,0.24549328091624079,0.97314453125,1,-0.39421052628631803,efficientnet_success_segformer_failure
