sample_id,image_id,class_name,image_label,label,image_path,mask_paths,mask_path,split,height,width,image_area,gt_area,gt_area_ratio,mask_quartile
authentic__10602,10602,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10602.png,,,train,490,655,320950,0,0.0,
authentic__10645,10645,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10645.png,,,train,120,640,76800,0,0.0,
authentic__10703,10703,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10703.png,,,train,512,620,317440,0,0.0,
authentic__10730,10730,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10730.png,,,train,666,1000,666000,0,0.0,
authentic__10799,10799,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10799.png,,,train,3888,2592,10077696,0,0.0,
authentic__10838,10838,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10838.png,,,train,573,355,203415,0,0.0,
authentic__10855,10855,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10855.png,,,train,360,360,129600,0,0.0,
authentic__10886,10886,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10886.png,,,train,666,1000,666000,0,0.0,
authentic__10911,10911,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10911.png,,,train,256,256,65536,0,0.0,
authentic__10939,10939,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10939.png,,,train,360,360,129600,0,0.0,
authentic__10980,10980,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10980.png,,,train,512,512,262144,0,0.0,
authentic__10986,10986,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10986.png,,,train,231,275,63525,0,0.0,
authentic__10991,10991,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/10991.png,,,train,256,256,65536,0,0.0,
authentic__11010,11010,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11010.png,,,train,1200,1600,1920000,0,0.0,
authentic__11128,11128,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11128.png,,,train,365,483,176295,0,0.0,
authentic__11223,11223,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11223.png,,,train,1200,1600,1920000,0,0.0,
authentic__11240,11240,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11240.png,,,train,214,755,161570,0,0.0,
authentic__11249,11249,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11249.png,,,train,512,704,360448,0,0.0,
authentic__11299,11299,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11299.png,,,train,473,925,437525,0,0.0,
authentic__11307,11307,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11307.png,,,train,520,696,361920,0,0.0,
authentic__11392,11392,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11392.png,,,train,666,1000,666000,0,0.0,
authentic__11399,11399,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11399.png,,,train,1200,1600,1920000,0,0.0,
authentic__11426,11426,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11426.png,,,train,512,696,356352,0,0.0,
authentic__11446,11446,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11446.png,,,train,1200,1600,1920000,0,0.0,
authentic__11501,11501,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11501.png,,,train,418,1409,588962,0,0.0,
authentic__11508,11508,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11508.png,,,train,1024,1280,1310720,0,0.0,
authentic__11547,11547,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11547.png,,,train,1200,1600,1920000,0,0.0,
authentic__11548,11548,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11548.png,,,train,666,1000,666000,0,0.0,
authentic__11639,11639,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11639.png,,,train,666,1000,666000,0,0.0,
authentic__11646,11646,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11646.png,,,train,512,683,349696,0,0.0,
authentic__11708,11708,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11708.png,,,train,184,1435,264040,0,0.0,
authentic__1173,1173,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1173.png,,,train,256,256,65536,0,0.0,
authentic__1174,1174,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1174.png,,,train,1041,250,260250,0,0.0,
authentic__11747,11747,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11747.png,,,train,512,680,348160,0,0.0,
authentic__11761,11761,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11761.png,,,train,512,628,321536,0,0.0,
authentic__11910,11910,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11910.png,,,train,666,1000,666000,0,0.0,
authentic__11919,11919,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11919.png,,,train,128,1486,190208,0,0.0,
authentic__11942,11942,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11942.png,,,train,256,256,65536,0,0.0,
authentic__11954,11954,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11954.png,,,train,512,512,262144,0,0.0,
authentic__11985,11985,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/11985.png,,,train,666,1000,666000,0,0.0,
authentic__1201,1201,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1201.png,,,train,865,1101,952365,0,0.0,
authentic__12019,12019,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12019.png,,,train,1200,1600,1920000,0,0.0,
authentic__12051,12051,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12051.png,,,train,520,696,361920,0,0.0,
authentic__12064,12064,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12064.png,,,train,216,569,122904,0,0.0,
authentic__12115,12115,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12115.png,,,train,597,657,392229,0,0.0,
authentic__12124,12124,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12124.png,,,train,520,696,361920,0,0.0,
authentic__12143,12143,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12143.png,,,train,1200,1600,1920000,0,0.0,
authentic__12149,12149,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12149.png,,,train,360,360,129600,0,0.0,
authentic__12244,12244,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12244.png,,,train,2592,3888,10077696,0,0.0,
authentic__1225,1225,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1225.png,,,train,254,600,152400,0,0.0,
authentic__12261,12261,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12261.png,,,train,256,320,81920,0,0.0,
authentic__12265,12265,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12265.png,,,train,1200,1600,1920000,0,0.0,
authentic__12289,12289,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12289.png,,,train,3888,2592,10077696,0,0.0,
authentic__12298,12298,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12298.png,,,train,666,1000,666000,0,0.0,
authentic__12299,12299,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12299.png,,,train,1200,1600,1920000,0,0.0,
authentic__12355,12355,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12355.png,,,train,666,1000,666000,0,0.0,
authentic__12363,12363,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12363.png,,,train,256,256,65536,0,0.0,
authentic__12366,12366,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12366.png,,,train,256,320,81920,0,0.0,
authentic__1237,1237,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1237.png,,,train,262,1541,403742,0,0.0,
authentic__12412,12412,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12412.png,,,train,512,701,358912,0,0.0,
authentic__12427,12427,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12427.png,,,train,133,615,81795,0,0.0,
authentic__12505,12505,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12505.png,,,train,1912,2568,4910016,0,0.0,
authentic__1251,1251,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1251.png,,,train,1418,1440,2041920,0,0.0,
authentic__12557,12557,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12557.png,,,train,3888,2592,10077696,0,0.0,
authentic__12574,12574,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12574.png,,,train,666,1000,666000,0,0.0,
authentic__12589,12589,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12589.png,,,train,256,320,81920,0,0.0,
authentic__12612,12612,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12612.png,,,train,2592,3888,10077696,0,0.0,
authentic__12615,12615,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12615.png,,,train,512,914,467968,0,0.0,
authentic__12705,12705,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12705.png,,,train,256,320,81920,0,0.0,
authentic__1272,1272,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1272.png,,,train,256,256,65536,0,0.0,
authentic__12747,12747,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12747.png,,,train,666,1000,666000,0,0.0,
authentic__12798,12798,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12798.png,,,train,1912,2568,4910016,0,0.0,
authentic__12809,12809,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12809.png,,,train,97,621,60237,0,0.0,
authentic__12823,12823,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12823.png,,,train,360,360,129600,0,0.0,
authentic__12862,12862,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12862.png,,,train,256,256,65536,0,0.0,
authentic__12912,12912,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12912.png,,,train,256,320,81920,0,0.0,
authentic__12919,12919,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12919.png,,,train,1200,1600,1920000,0,0.0,
authentic__12924,12924,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/12924.png,,,train,2592,3888,10077696,0,0.0,
authentic__13072,13072,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13072.png,,,train,1024,1024,1048576,0,0.0,
authentic__13108,13108,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13108.png,,,train,256,256,65536,0,0.0,
authentic__13115,13115,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13115.png,,,train,256,256,65536,0,0.0,
authentic__13121,13121,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13121.png,,,train,326,474,154524,0,0.0,
authentic__13219,13219,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13219.png,,,train,1200,1600,1920000,0,0.0,
authentic__13254,13254,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13254.png,,,train,512,512,262144,0,0.0,
authentic__13315,13315,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13315.png,,,train,512,516,264192,0,0.0,
authentic__13361,13361,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13361.png,,,train,419,497,208243,0,0.0,
authentic__13415,13415,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13415.png,,,train,512,635,325120,0,0.0,
authentic__13444,13444,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13444.png,,,train,666,1000,666000,0,0.0,
authentic__13511,13511,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13511.png,,,train,2592,3888,10077696,0,0.0,
authentic__13516,13516,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13516.png,,,train,666,1000,666000,0,0.0,
authentic__1353,1353,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1353.png,,,train,419,1841,771379,0,0.0,
authentic__13611,13611,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13611.png,,,train,256,256,65536,0,0.0,
authentic__13624,13624,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13624.png,,,train,917,1301,1193017,0,0.0,
authentic__13635,13635,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13635.png,,,train,247,655,161785,0,0.0,
authentic__13665,13665,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13665.png,,,train,1912,2568,4910016,0,0.0,
authentic__13725,13725,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13725.png,,,train,1200,1600,1920000,0,0.0,
authentic__13744,13744,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13744.png,,,train,512,512,262144,0,0.0,
authentic__13785,13785,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13785.png,,,train,1024,1024,1048576,0,0.0,
authentic__13813,13813,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13813.png,,,train,666,1000,666000,0,0.0,
authentic__1385,1385,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1385.png,,,train,520,696,361920,0,0.0,
authentic__1386,1386,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1386.png,,,train,666,1000,666000,0,0.0,
authentic__13863,13863,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13863.png,,,train,1024,1280,1310720,0,0.0,
authentic__13898,13898,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13898.png,,,train,512,700,358400,0,0.0,
authentic__13905,13905,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13905.png,,,train,1200,1600,1920000,0,0.0,
authentic__13920,13920,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13920.png,,,train,1200,1600,1920000,0,0.0,
authentic__13957,13957,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13957.png,,,train,256,256,65536,0,0.0,
authentic__13989,13989,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/13989.png,,,train,260,347,90220,0,0.0,
authentic__14010,14010,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14010.png,,,train,256,256,65536,0,0.0,
authentic__14048,14048,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14048.png,,,train,666,1000,666000,0,0.0,
authentic__14087,14087,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14087.png,,,train,256,256,65536,0,0.0,
authentic__14094,14094,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14094.png,,,train,512,514,263168,0,0.0,
authentic__14170,14170,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14170.png,,,train,263,306,80478,0,0.0,
authentic__14184,14184,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14184.png,,,train,520,696,361920,0,0.0,
authentic__14203,14203,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14203.png,,,train,256,320,81920,0,0.0,
authentic__14205,14205,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14205.png,,,train,77,984,75768,0,0.0,
authentic__14227,14227,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14227.png,,,train,528,512,270336,0,0.0,
authentic__14324,14324,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14324.png,,,train,256,320,81920,0,0.0,
authentic__14389,14389,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14389.png,,,train,232,608,141056,0,0.0,
authentic__14462,14462,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14462.png,,,train,424,375,159000,0,0.0,
authentic__14478,14478,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14478.png,,,train,1912,2568,4910016,0,0.0,
authentic__14498,14498,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14498.png,,,train,256,256,65536,0,0.0,
authentic__14506,14506,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14506.png,,,train,520,696,361920,0,0.0,
authentic__14608,14608,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14608.png,,,train,256,256,65536,0,0.0,
authentic__14618,14618,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14618.png,,,train,256,256,65536,0,0.0,
authentic__14622,14622,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14622.png,,,train,666,1000,666000,0,0.0,
authentic__14664,14664,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14664.png,,,train,512,640,327680,0,0.0,
authentic__1467,1467,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1467.png,,,train,1200,1600,1920000,0,0.0,
authentic__14690,14690,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14690.png,,,train,666,1000,666000,0,0.0,
authentic__14692,14692,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14692.png,,,train,1200,1600,1920000,0,0.0,
authentic__14716,14716,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14716.png,,,train,1200,1600,1920000,0,0.0,
authentic__14720,14720,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14720.png,,,train,360,360,129600,0,0.0,
authentic__14747,14747,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14747.png,,,train,256,256,65536,0,0.0,
authentic__14776,14776,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14776.png,,,train,107,534,57138,0,0.0,
authentic__14820,14820,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14820.png,,,train,419,1608,673752,0,0.0,
authentic__14822,14822,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14822.png,,,train,256,320,81920,0,0.0,
authentic__14891,14891,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14891.png,,,train,617,1283,791611,0,0.0,
authentic__14898,14898,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14898.png,,,train,666,1000,666000,0,0.0,
authentic__14908,14908,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14908.png,,,train,520,696,361920,0,0.0,
authentic__14944,14944,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14944.png,,,train,121,495,59895,0,0.0,
authentic__14954,14954,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14954.png,,,train,256,256,65536,0,0.0,
authentic__14965,14965,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/14965.png,,,train,512,740,378880,0,0.0,
authentic__15010,15010,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15010.png,,,train,520,696,361920,0,0.0,
authentic__15056,15056,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15056.png,,,train,256,256,65536,0,0.0,
authentic__15120,15120,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15120.png,,,train,512,776,397312,0,0.0,
authentic__15171,15171,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15171.png,,,train,360,360,129600,0,0.0,
authentic__15176,15176,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15176.png,,,train,89,260,23140,0,0.0,
authentic__15295,15295,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15295.png,,,train,666,1000,666000,0,0.0,
authentic__15314,15314,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15314.png,,,train,256,256,65536,0,0.0,
authentic__15321,15321,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15321.png,,,train,256,256,65536,0,0.0,
authentic__15369,15369,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/15369.png,,,train,1912,2568,4910016,0,0.0,
authentic__1538,1538,authentic,0,0,/kaggle/input/competitions/recodai-luc-scientific-image-forgery-detection/train_images/authentic/1538.png,,,train,666,1000,666000,0,0.0,
