mask_file,mask_stem,mask_shape,mask_dtype,mask_min,mask_max,mask_unique_count,mask_unique_preview,nonzero_pixels,total_pixels,mask_area_ratio
1041.npy,1041,"(140, 403)",uint8,0.0,1.0,2,"[0, 1]",1425,56420,0.025257001063452675
10435.npy,10435,"(2, 422, 1137)",uint8,0.0,1.0,2,"[0, 1]",110474,959628,0.11512169298936671
10448.npy,10448,"(68, 753)",uint8,0.0,1.0,2,"[0, 1]",7238,51204,0.141356144051246
10457.npy,10457,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",287,65536,0.0043792724609375
10458.npy,10458,"(156, 536)",uint8,0.0,1.0,2,"[0, 1]",4974,83616,0.05948622273249139
10476.npy,10476,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",40380,666000,0.06063063063063063
10505.npy,10505,"(102, 986)",uint8,0.0,1.0,2,"[0, 1]",17580,100572,0.17480014318100465
10570.npy,10570,"(458, 1216)",uint8,0.0,1.0,2,"[0, 1]",159018,556928,0.28552703401516893
10602.npy,10602,"(490, 655)",uint8,0.0,1.0,2,"[0, 1]",9048,320950,0.028191307057174014
10632.npy,10632,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",324,65536,0.00494384765625
10636.npy,10636,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",6625,129600,0.051118827160493825
10645.npy,10645,"(120, 640)",uint8,0.0,1.0,2,"[0, 1]",13074,76800,0.170234375
1070.npy,1070,"(3, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",16446,1085760,0.015146993810786914
10703.npy,10703,"(512, 620)",uint8,0.0,1.0,2,"[0, 1]",2222,317440,0.006999747983870968
10730.npy,10730,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",76010,1332000,0.05706456456456457
10742.npy,10742,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",334,65536,0.005096435546875
10799.npy,10799,"(3888, 2592)",uint8,0.0,1.0,2,"[0, 1]",579887,10077696,0.05754162459355789
10838.npy,10838,"(573, 355)",uint8,0.0,1.0,2,"[0, 1]",7694,203415,0.03782415259444977
10855.npy,10855,"(2, 360, 360)",uint8,0.0,1.0,2,"[0, 1]",10746,259200,0.04145833333333333
10878.npy,10878,"(507, 180)",uint8,0.0,1.0,2,"[0, 1]",2970,91260,0.03254437869822485
10884.npy,10884,"(392, 380)",uint8,0.0,1.0,2,"[0, 1]",56274,148960,0.37777926960257785
10886.npy,10886,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",80460,666000,0.12081081081081081
10911.npy,10911,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",198,65536,0.003021240234375
10939.npy,10939,"(2, 360, 360)",uint8,0.0,1.0,2,"[0, 1]",7639,259200,0.02947145061728395
10951.npy,10951,"(177, 673)",uint8,0.0,1.0,2,"[0, 1]",5938,119121,0.04984847340099562
1097.npy,1097,"(3, 360, 360)",uint8,0.0,1.0,2,"[0, 1]",6876,388800,0.017685185185185186
10980.npy,10980,"(2, 512, 512)",uint8,0.0,1.0,2,"[0, 1]",2978,524288,0.005680084228515625
10986.npy,10986,"(2, 231, 275)",uint8,0.0,1.0,2,"[0, 1]",3674,127050,0.02891774891774892
10991.npy,10991,"(2, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",407,131072,0.00310516357421875
10992.npy,10992,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",115825,1332000,0.08695570570570571
1101.npy,1101,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",2983,3840000,0.0007768229166666667
11010.npy,11010,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",4487,3840000,0.0011684895833333332
11014.npy,11014,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",7826,1920000,0.004076041666666667
11128.npy,11128,"(365, 483)",uint8,0.0,1.0,2,"[0, 1]",12338,176295,0.06998496837686832
11130.npy,11130,"(2, 439, 419)",uint8,0.0,1.0,2,"[0, 1]",3322,367882,0.00903006942443501
11206.npy,11206,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",69044,1332000,0.051834834834834836
11223.npy,11223,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5203,3840000,0.0013549479166666666
11240.npy,11240,"(214, 755)",uint8,0.0,1.0,2,"[0, 1]",17562,161570,0.10869592127251346
11249.npy,11249,"(512, 704)",uint8,0.0,1.0,2,"[0, 1]",43306,360448,0.12014493075284091
11277.npy,11277,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",6000,3840000,0.0015625
11296.npy,11296,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",2035,262144,0.007762908935546875
11299.npy,11299,"(2, 473, 925)",uint8,0.0,1.0,2,"[0, 1]",38532,875050,0.044034055196845896
11307.npy,11307,"(520, 696)",uint8,0.0,1.0,2,"[0, 1]",2105,361920,0.005816202475685235
11333.npy,11333,"(3, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",13380,5760000,0.0023229166666666667
11356.npy,11356,"(3, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",2365,196608,0.012029012044270834
1137.npy,1137,"(2, 270, 480)",uint8,0.0,1.0,2,"[0, 1]",6180,259200,0.023842592592592592
11392.npy,11392,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",36396,666000,0.05464864864864865
11399.npy,11399,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",17711,3840000,0.004612239583333334
11426.npy,11426,"(512, 696)",uint8,0.0,1.0,2,"[0, 1]",69739,356352,0.1957025637571839
1143.npy,1143,"(3, 788, 636)",uint8,0.0,1.0,2,"[0, 1]",2969,1503504,0.001974720386510445
11440.npy,11440,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",546,81920,0.0066650390625
11446.npy,11446,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5117,3840000,0.0013325520833333334
11501.npy,11501,"(418, 1409)",uint8,0.0,1.0,2,"[0, 1]",181615,588962,0.30836454643932887
11508.npy,11508,"(1024, 1280)",uint8,0.0,1.0,2,"[0, 1]",2921,1310720,0.002228546142578125
11513.npy,11513,"(2, 256, 320)",uint8,0.0,1.0,2,"[0, 1]",3290,163840,0.02008056640625
11547.npy,11547,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",4355,1920000,0.0022682291666666667
11548.npy,11548,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",143561,1332000,0.10777852852852852
11639.npy,11639,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",44501,666000,0.06681831831831832
11646.npy,11646,"(2, 512, 683)",uint8,0.0,1.0,2,"[0, 1]",30457,699392,0.043547824396046854
11662.npy,11662,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",470,65536,0.007171630859375
11698.npy,11698,"(67, 398)",uint8,0.0,1.0,2,"[0, 1]",3208,26666,0.12030300757518939
11708.npy,11708,"(184, 1435)",uint8,0.0,1.0,2,"[0, 1]",14226,264040,0.05387820027268596
1173.npy,1173,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",1195,65536,0.0182342529296875
1174.npy,1174,"(1041, 250)",uint8,0.0,1.0,2,"[0, 1]",5559,260250,0.021360230547550433
11740.npy,11740,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",624,262144,0.00238037109375
11747.npy,11747,"(2, 512, 680)",uint8,0.0,1.0,2,"[0, 1]",1399,696320,0.002009133731617647
11761.npy,11761,"(512, 628)",uint8,0.0,1.0,2,"[0, 1]",32099,321536,0.09983019008757962
11764.npy,11764,"(3, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",19024,5760000,0.0033027777777777777
11785.npy,11785,"(3, 528, 512)",uint8,0.0,1.0,2,"[0, 1]",26298,811008,0.032426313920454544
11854.npy,11854,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",12374,3840000,0.003222395833333333
11904.npy,11904,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",1264,65536,0.019287109375
11910.npy,11910,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",43918,666000,0.06594294294294294
11919.npy,11919,"(128, 1486)",uint8,0.0,1.0,2,"[0, 1]",36765,190208,0.19328840006729475
11942.npy,11942,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",576,65536,0.0087890625
11954.npy,11954,"(2, 512, 512)",uint8,0.0,1.0,2,"[0, 1]",1394,524288,0.002658843994140625
11964.npy,11964,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",6731,129600,0.05193672839506173
11985.npy,11985,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",67748,666000,0.10172372372372372
1201.npy,1201,"(865, 1101)",uint8,0.0,1.0,2,"[0, 1]",2235,952365,0.002346789308720921
12019.npy,12019,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",3614,1920000,0.0018822916666666667
12025.npy,12025,"(1024, 1024)",uint8,0.0,1.0,2,"[0, 1]",84672,1048576,0.08074951171875
12046.npy,12046,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5301,1920000,0.0027609375
12051.npy,12051,"(2, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",5824,723840,0.008045977011494253
12063.npy,12063,"(2, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",2616,723840,0.0036140583554376657
12064.npy,12064,"(216, 569)",uint8,0.0,1.0,2,"[0, 1]",31238,122904,0.25416585302349803
12073.npy,12073,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",266,65536,0.004058837890625
12115.npy,12115,"(3, 597, 657)",uint8,0.0,1.0,2,"[0, 1]",3775,1176687,0.003208159858993938
12124.npy,12124,"(2, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",19296,723840,0.026657824933687003
12143.npy,12143,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",4343,3840000,0.0011309895833333332
12149.npy,12149,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",3291,129600,0.02539351851851852
12150.npy,12150,"(5, 512, 748)",uint8,0.0,1.0,2,"[0, 1]",6798,1914880,0.003550091911764706
12184.npy,12184,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",4209,262144,0.016056060791015625
12244.npy,12244,"(2592, 3888)",uint8,0.0,1.0,2,"[0, 1]",318797,10077696,0.03163391711756338
1225.npy,1225,"(254, 600)",uint8,0.0,1.0,2,"[0, 1]",18806,152400,0.1233989501312336
12261.npy,12261,"(2, 256, 320)",uint8,0.0,1.0,2,"[0, 1]",1946,163840,0.01187744140625
12262.npy,12262,"(2, 341, 311)",uint8,0.0,1.0,2,"[0, 1]",1621,212102,0.007642549339468746
12265.npy,12265,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",6581,3840000,0.0017138020833333332
12289.npy,12289,"(3888, 2592)",uint8,0.0,1.0,2,"[0, 1]",410997,10077696,0.04078283369532083
12298.npy,12298,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",47541,666000,0.07138288288288289
12299.npy,12299,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",2427,1920000,0.0012640625
12300.npy,12300,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",1962,262144,0.00748443603515625
12307.npy,12307,"(161, 1171)",uint8,0.0,1.0,2,"[0, 1]",33534,188531,0.17786995242161766
12335.npy,12335,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",1484,262144,0.0056610107421875
12355.npy,12355,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",51868,666000,0.07787987987987988
12363.npy,12363,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",187,65536,0.0028533935546875
12364.npy,12364,"(204, 975)",uint8,0.0,1.0,2,"[0, 1]",11572,198900,0.05817998994469583
12366.npy,12366,"(2, 256, 320)",uint8,0.0,1.0,2,"[0, 1]",2001,163840,0.012213134765625
1237.npy,1237,"(2, 262, 1541)",uint8,0.0,1.0,2,"[0, 1]",14082,807484,0.01743935483551377
12412.npy,12412,"(512, 701)",uint8,0.0,1.0,2,"[0, 1]",51424,358912,0.1432774607703281
12427.npy,12427,"(133, 615)",uint8,0.0,1.0,2,"[0, 1]",21959,81795,0.2684638425331622
12446.npy,12446,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1287,81920,0.01571044921875
12459.npy,12459,"(2, 1024, 1280)",uint8,0.0,1.0,2,"[0, 1]",5664,2621440,0.00216064453125
12505.npy,12505,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",57408,4910016,0.011692018926211238
1251.npy,1251,"(1418, 1440)",uint8,0.0,1.0,2,"[0, 1]",32044,2041920,0.015693073186021
12557.npy,12557,"(3, 3888, 2592)",uint8,0.0,1.0,2,"[0, 1]",812654,30233088,0.02687962274975021
12572.npy,12572,"(2, 1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",59456,9820032,0.006054562754988986
12574.npy,12574,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",44939,666000,0.06747597597597597
12589.npy,12589,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1203,81920,0.01468505859375
12612.npy,12612,"(2592, 3888)",uint8,0.0,1.0,2,"[0, 1]",419620,10077696,0.04163848562211045
12615.npy,12615,"(2, 512, 914)",uint8,0.0,1.0,2,"[0, 1]",2637,935936,0.00281750034190372
12629.npy,12629,"(270, 480)",uint8,0.0,1.0,2,"[0, 1]",513,129600,0.003958333333333334
1270.npy,1270,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5355,3840000,0.00139453125
12705.npy,12705,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",286,81920,0.0034912109375
1272.npy,1272,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",538,65536,0.008209228515625
12747.npy,12747,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",77229,666000,0.11595945945945946
12793.npy,12793,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",73035,666000,0.10966216216216217
12798.npy,12798,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",146170,4910016,0.02976976042440595
12809.npy,12809,"(97, 621)",uint8,0.0,1.0,2,"[0, 1]",4008,60237,0.06653717814632203
12823.npy,12823,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",3816,129600,0.029444444444444443
12862.npy,12862,"(2, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",286,131072,0.0021820068359375
12879.npy,12879,"(2, 360, 360)",uint8,0.0,1.0,2,"[0, 1]",10190,259200,0.03931327160493827
12908.npy,12908,"(3, 512, 664)",uint8,0.0,1.0,2,"[0, 1]",15774,1019904,0.015466161521084338
12912.npy,12912,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1922,81920,0.0234619140625
12919.npy,12919,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",24671,3840000,0.0064247395833333335
12924.npy,12924,"(2, 2592, 3888)",uint8,0.0,1.0,2,"[0, 1]",1085424,20155392,0.05385278539856729
13020.npy,13020,"(96, 416)",uint8,0.0,1.0,2,"[0, 1]",5842,39936,0.1462840544871795
13072.npy,13072,"(2, 1024, 1024)",uint8,0.0,1.0,2,"[0, 1]",3532,2097152,0.0016841888427734375
13108.npy,13108,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",525,65536,0.0080108642578125
13115.npy,13115,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",679,65536,0.0103607177734375
13121.npy,13121,"(326, 474)",uint8,0.0,1.0,2,"[0, 1]",4462,154524,0.028875773342652275
13123.npy,13123,"(514, 512)",uint8,0.0,1.0,2,"[0, 1]",672,263168,0.002553501945525292
13187.npy,13187,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",17895,1920000,0.0093203125
13219.npy,13219,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",2898,1920000,0.001509375
13254.npy,13254,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",2689,262144,0.010257720947265625
13315.npy,13315,"(512, 516)",uint8,0.0,1.0,2,"[0, 1]",2385,264192,0.009027525436046511
13333.npy,13333,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",17330,3840000,0.004513020833333333
13361.npy,13361,"(419, 497)",uint8,0.0,1.0,2,"[0, 1]",2073,208243,0.00995471636501587
13415.npy,13415,"(512, 635)",uint8,0.0,1.0,2,"[0, 1]",5649,325120,0.017375123031496062
13426.npy,13426,"(665, 332)",uint8,0.0,1.0,2,"[0, 1]",3440,220780,0.015581121478394782
13444.npy,13444,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",59258,666000,0.08897597597597598
13451.npy,13451,"(512, 568)",uint8,0.0,1.0,2,"[0, 1]",92233,290816,0.31715242627640844
13510.npy,13510,"(2, 341, 311)",uint8,0.0,1.0,2,"[0, 1]",7148,212102,0.033700766612290316
13511.npy,13511,"(2, 2592, 3888)",uint8,0.0,1.0,2,"[0, 1]",968447,20155392,0.04804902826995377
13516.npy,13516,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",62742,666000,0.09420720720720721
1353.npy,1353,"(419, 1841)",uint8,0.0,1.0,2,"[0, 1]",96384,771379,0.12495025143282355
13603.npy,13603,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",473,81920,0.00577392578125
13611.npy,13611,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",3575,65536,0.0545501708984375
13624.npy,13624,"(3, 917, 1301)",uint8,0.0,1.0,2,"[0, 1]",2882,3579051,0.0008052413894074155
13635.npy,13635,"(247, 655)",uint8,0.0,1.0,2,"[0, 1]",30118,161785,0.18616064530086227
13665.npy,13665,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",58309,4910016,0.011875521383229708
13670.npy,13670,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",76096,666000,0.11425825825825826
13677.npy,13677,"(2, 291, 266)",uint8,0.0,1.0,2,"[0, 1]",1124,154812,0.007260419088959512
13725.npy,13725,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",9771,3840000,0.00254453125
13732.npy,13732,"(512, 520)",uint8,0.0,1.0,2,"[0, 1]",1930,266240,0.007249098557692308
13734.npy,13734,"(1024, 1280)",uint8,0.0,1.0,2,"[0, 1]",5736,1310720,0.004376220703125
13742.npy,13742,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",6976,1920000,0.0036333333333333335
13744.npy,13744,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",378,262144,0.00144195556640625
13785.npy,13785,"(2, 1024, 1024)",uint8,0.0,1.0,2,"[0, 1]",6966,2097152,0.0033216476440429688
13799.npy,13799,"(100, 742)",uint8,0.0,1.0,2,"[0, 1]",36764,74200,0.49547169811320757
13813.npy,13813,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",54137,666000,0.08128678678678679
13839.npy,13839,"(3, 351, 694)",uint8,0.0,1.0,2,"[0, 1]",2926,730782,0.00400393003659094
13846.npy,13846,"(467, 417)",uint8,0.0,1.0,2,"[0, 1]",9090,194739,0.04667786113721443
1385.npy,1385,"(2, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",7855,723840,0.010851845711759504
1386.npy,1386,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",104777,666000,0.1573228228228228
13863.npy,13863,"(1024, 1280)",uint8,0.0,1.0,2,"[0, 1]",7223,1310720,0.005510711669921875
13893.npy,13893,"(184, 1264)",uint8,0.0,1.0,2,"[0, 1]",16430,232576,0.07064357457347276
13898.npy,13898,"(2, 512, 700)",uint8,0.0,1.0,2,"[0, 1]",5874,716800,0.008194754464285714
13905.npy,13905,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5816,1920000,0.0030291666666666666
13920.npy,13920,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",3126,1920000,0.001628125
13957.npy,13957,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",361,65536,0.0055084228515625
13971.npy,13971,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",970,262144,0.00370025634765625
13986.npy,13986,"(2, 1956, 1398)",uint8,0.0,1.0,2,"[0, 1]",1527,5468976,0.000279211318535682
13989.npy,13989,"(260, 347)",uint8,0.0,1.0,2,"[0, 1]",355,90220,0.003934825980935491
14010.npy,14010,"(2, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",1343,131072,0.01024627685546875
14048.npy,14048,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",71743,1332000,0.05386111111111111
14070.npy,14070,"(1024, 1024)",uint8,0.0,1.0,2,"[0, 1]",101220,1048576,0.09653091430664062
14087.npy,14087,"(2, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",573,131072,0.00437164306640625
14094.npy,14094,"(512, 514)",uint8,0.0,1.0,2,"[0, 1]",28214,263168,0.10720908317120623
14101.npy,14101,"(3, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",17530,5760000,0.0030434027777777777
14111.npy,14111,"(3, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",5954,5760000,0.0010336805555555555
14114.npy,14114,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",96796,1332000,0.07266966966966967
14123.npy,14123,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",61334,666000,0.09209309309309309
14153.npy,14153,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",446,262144,0.00170135498046875
14170.npy,14170,"(263, 306)",uint8,0.0,1.0,2,"[0, 1]",723,80478,0.008983821665548349
14184.npy,14184,"(2, 520, 696)",uint8,0.0,1.0,2,"[0, 1]",21905,723840,0.03026221264367816
1419.npy,1419,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",38699,4910016,0.007881644377533597
14203.npy,14203,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1132,81920,0.013818359375
14205.npy,14205,"(77, 984)",uint8,0.0,1.0,2,"[0, 1]",14891,75768,0.19653415690001055
14227.npy,14227,"(528, 512)",uint8,0.0,1.0,2,"[0, 1]",6476,270336,0.023955374053030304
14324.npy,14324,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",1819,81920,0.02220458984375
14331.npy,14331,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",7368,1920000,0.0038375
14371.npy,14371,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",22980,3840000,0.005984375
14389.npy,14389,"(232, 608)",uint8,0.0,1.0,2,"[0, 1]",12002,141056,0.08508677404718694
14401.npy,14401,"(67, 398)",uint8,0.0,1.0,2,"[0, 1]",4464,26666,0.16740418510462762
14403.npy,14403,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",11756,3840000,0.003061458333333333
14436.npy,14436,"(256, 320)",uint8,0.0,1.0,2,"[0, 1]",2413,81920,0.02945556640625
14462.npy,14462,"(424, 375)",uint8,0.0,1.0,2,"[0, 1]",4664,159000,0.029333333333333333
14478.npy,14478,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",47923,4910016,0.009760253327076734
14498.npy,14498,"(2, 256, 256)",uint8,0.0,1.0,2,"[0, 1]",1830,131072,0.0139617919921875
14506.npy,14506,"(520, 696)",uint8,0.0,1.0,2,"[0, 1]",2212,361920,0.006111847922192749
14594.npy,14594,"(3, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",17924,5760000,0.0031118055555555556
14605.npy,14605,"(1912, 2568)",uint8,0.0,1.0,2,"[0, 1]",61487,4910016,0.012522769783234923
14608.npy,14608,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",531,65536,0.0081024169921875
14618.npy,14618,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",1455,65536,0.0222015380859375
14622.npy,14622,"(2, 666, 1000)",uint8,0.0,1.0,2,"[0, 1]",91026,1332000,0.06833783783783784
14624.npy,14624,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",7532,129600,0.058117283950617285
14664.npy,14664,"(2, 512, 640)",uint8,0.0,1.0,2,"[0, 1]",6357,655360,0.00970001220703125
1467.npy,1467,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",4399,1920000,0.0022911458333333334
14690.npy,14690,"(666, 1000)",uint8,0.0,1.0,2,"[0, 1]",76727,666000,0.11520570570570571
14692.npy,14692,"(1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",6312,1920000,0.0032875
14700.npy,14700,"(512, 512)",uint8,0.0,1.0,2,"[0, 1]",1527,262144,0.005825042724609375
14710.npy,14710,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",286,65536,0.004364013671875
14716.npy,14716,"(2, 1200, 1600)",uint8,0.0,1.0,2,"[0, 1]",8904,3840000,0.00231875
14720.npy,14720,"(360, 360)",uint8,0.0,1.0,2,"[0, 1]",4328,129600,0.03339506172839506
14747.npy,14747,"(256, 256)",uint8,0.0,1.0,2,"[0, 1]",660,65536,0.01007080078125
14770.npy,14770,"(96, 517)",uint8,0.0,1.0,2,"[0, 1]",13137,49632,0.26468810444874274
14776.npy,14776,"(107, 534)",uint8,0.0,1.0,2,"[0, 1]",10926,57138,0.19122125380657357
1482.npy,1482,"(4, 1136, 1445)",uint8,0.0,1.0,2,"[0, 1]",15806,6566080,0.002407220137433598
