image_file,mask_file,image_shape,mask_shape,image_hw,mask_hw,same_hw,status
1143.png,1143.npy,"(788, 636, 3)","(3, 788, 636)","(788, 636)","(3, 788)",False,shape_mismatch
11440.png,11440.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
11446.png,11446.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11501.png,11501.npy,"(418, 1409, 3)","(1, 418, 1409)","(418, 1409)","(418, 1409)",True,ok
11508.png,11508.npy,"(1024, 1280, 3)","(1, 1024, 1280)","(1024, 1280)","(1024, 1280)",True,ok
11513.png,11513.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
11547.png,11547.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
11548.png,11548.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
11639.png,11639.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
11646.png,11646.npy,"(512, 683, 3)","(2, 512, 683)","(512, 683)","(2, 512)",False,shape_mismatch
11662.png,11662.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
11698.png,11698.npy,"(67, 398, 3)","(1, 67, 398)","(67, 398)","(67, 398)",True,ok
11708.png,11708.npy,"(184, 1435, 3)","(1, 184, 1435)","(184, 1435)","(184, 1435)",True,ok
1173.png,1173.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
1174.png,1174.npy,"(1041, 250, 3)","(1, 1041, 250)","(1041, 250)","(1041, 250)",True,ok
11740.png,11740.npy,"(512, 512)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
11747.png,11747.npy,"(512, 680, 3)","(2, 512, 680)","(512, 680)","(2, 512)",False,shape_mismatch
11761.png,11761.npy,"(512, 628, 3)","(1, 512, 628)","(512, 628)","(512, 628)",True,ok
11764.png,11764.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
11785.png,11785.npy,"(528, 512, 3)","(3, 528, 512)","(528, 512)","(3, 528)",False,shape_mismatch
11854.png,11854.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
11904.png,11904.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
11910.png,11910.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
11919.png,11919.npy,"(128, 1486, 3)","(1, 128, 1486)","(128, 1486)","(128, 1486)",True,ok
11942.png,11942.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
11954.png,11954.npy,"(512, 512, 3)","(2, 512, 512)","(512, 512)","(2, 512)",False,shape_mismatch
11964.png,11964.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
11985.png,11985.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
1201.png,1201.npy,"(865, 1101, 3)","(1, 865, 1101)","(865, 1101)","(865, 1101)",True,ok
12019.png,12019.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
12025.png,12025.npy,"(1024, 1024, 3)","(1, 1024, 1024)","(1024, 1024)","(1024, 1024)",True,ok
12046.png,12046.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
12051.png,12051.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
12063.png,12063.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
12064.png,12064.npy,"(216, 569, 3)","(1, 216, 569)","(216, 569)","(216, 569)",True,ok
12073.png,12073.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
12115.png,12115.npy,"(597, 657, 3)","(3, 597, 657)","(597, 657)","(3, 597)",False,shape_mismatch
12124.png,12124.npy,"(520, 696, 3)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
12143.png,12143.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
12149.png,12149.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
12150.png,12150.npy,"(512, 748, 3)","(5, 512, 748)","(512, 748)","(5, 512)",False,shape_mismatch
12184.png,12184.npy,"(512, 512)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
12244.png,12244.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
1225.png,1225.npy,"(254, 600, 3)","(1, 254, 600)","(254, 600)","(254, 600)",True,ok
12261.png,12261.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
12262.png,12262.npy,"(341, 311, 3)","(2, 341, 311)","(341, 311)","(2, 341)",False,shape_mismatch
12265.png,12265.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
12289.png,12289.npy,"(3888, 2592, 3)","(1, 3888, 2592)","(3888, 2592)","(3888, 2592)",True,ok
12298.png,12298.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
12299.png,12299.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
12300.png,12300.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
12307.png,12307.npy,"(161, 1171, 3)","(1, 161, 1171)","(161, 1171)","(161, 1171)",True,ok
12335.png,12335.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
12355.png,12355.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
12363.png,12363.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
12364.png,12364.npy,"(204, 975, 3)","(1, 204, 975)","(204, 975)","(204, 975)",True,ok
12366.png,12366.npy,"(256, 320, 4)","(2, 256, 320)","(256, 320)","(2, 256)",False,shape_mismatch
1237.png,1237.npy,"(262, 1541, 3)","(2, 262, 1541)","(262, 1541)","(2, 262)",False,shape_mismatch
12412.png,12412.npy,"(512, 701, 3)","(1, 512, 701)","(512, 701)","(512, 701)",True,ok
12427.png,12427.npy,"(133, 615, 3)","(1, 133, 615)","(133, 615)","(133, 615)",True,ok
12446.png,12446.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
12459.png,12459.npy,"(1024, 1280, 3)","(2, 1024, 1280)","(1024, 1280)","(2, 1024)",False,shape_mismatch
12505.png,12505.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
1251.png,1251.npy,"(1418, 1440, 3)","(1, 1418, 1440)","(1418, 1440)","(1418, 1440)",True,ok
12557.png,12557.npy,"(3888, 2592, 3)","(3, 3888, 2592)","(3888, 2592)","(3, 3888)",False,shape_mismatch
12572.png,12572.npy,"(1912, 2568)","(2, 1912, 2568)","(1912, 2568)","(2, 1912)",False,shape_mismatch
12574.png,12574.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
12589.png,12589.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
12612.png,12612.npy,"(2592, 3888, 3)","(1, 2592, 3888)","(2592, 3888)","(2592, 3888)",True,ok
12615.png,12615.npy,"(512, 914, 3)","(2, 512, 914)","(512, 914)","(2, 512)",False,shape_mismatch
12629.png,12629.npy,"(270, 480, 3)","(1, 270, 480)","(270, 480)","(270, 480)",True,ok
1270.png,1270.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
12705.png,12705.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
1272.png,1272.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
12747.png,12747.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
12793.png,12793.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
12798.png,12798.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
12809.png,12809.npy,"(97, 621, 3)","(1, 97, 621)","(97, 621)","(97, 621)",True,ok
12823.png,12823.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
12862.png,12862.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
12879.png,12879.npy,"(360, 360, 4)","(2, 360, 360)","(360, 360)","(2, 360)",False,shape_mismatch
12908.png,12908.npy,"(512, 664, 3)","(3, 512, 664)","(512, 664)","(3, 512)",False,shape_mismatch
12912.png,12912.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
12919.png,12919.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
12924.png,12924.npy,"(2592, 3888, 3)","(2, 2592, 3888)","(2592, 3888)","(2, 2592)",False,shape_mismatch
13020.png,13020.npy,"(96, 416, 3)","(1, 96, 416)","(96, 416)","(96, 416)",True,ok
13072.png,13072.npy,"(1024, 1024, 3)","(2, 1024, 1024)","(1024, 1024)","(2, 1024)",False,shape_mismatch
13108.png,13108.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
13115.png,13115.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
13121.png,13121.npy,"(326, 474, 3)","(1, 326, 474)","(326, 474)","(326, 474)",True,ok
13123.png,13123.npy,"(514, 512, 3)","(1, 514, 512)","(514, 512)","(514, 512)",True,ok
13187.png,13187.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
13219.png,13219.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
13254.png,13254.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
13315.png,13315.npy,"(512, 516, 3)","(1, 512, 516)","(512, 516)","(512, 516)",True,ok
13333.png,13333.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
13361.png,13361.npy,"(419, 497, 3)","(1, 419, 497)","(419, 497)","(419, 497)",True,ok
13415.png,13415.npy,"(512, 635, 3)","(1, 512, 635)","(512, 635)","(512, 635)",True,ok
13426.png,13426.npy,"(665, 332, 3)","(1, 665, 332)","(665, 332)","(665, 332)",True,ok
13444.png,13444.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
13451.png,13451.npy,"(512, 568, 3)","(1, 512, 568)","(512, 568)","(512, 568)",True,ok
13510.png,13510.npy,"(341, 311, 3)","(2, 341, 311)","(341, 311)","(2, 341)",False,shape_mismatch
13511.png,13511.npy,"(2592, 3888, 3)","(2, 2592, 3888)","(2592, 3888)","(2, 2592)",False,shape_mismatch
13516.png,13516.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
1353.png,1353.npy,"(419, 1841, 3)","(1, 419, 1841)","(419, 1841)","(419, 1841)",True,ok
13603.png,13603.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
13611.png,13611.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
13624.png,13624.npy,"(917, 1301, 3)","(3, 917, 1301)","(917, 1301)","(3, 917)",False,shape_mismatch
13635.png,13635.npy,"(247, 655, 3)","(1, 247, 655)","(247, 655)","(247, 655)",True,ok
13665.png,13665.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
13670.png,13670.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
13677.png,13677.npy,"(291, 266, 3)","(2, 291, 266)","(291, 266)","(2, 291)",False,shape_mismatch
13725.png,13725.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
13732.png,13732.npy,"(512, 520, 3)","(1, 512, 520)","(512, 520)","(512, 520)",True,ok
13734.png,13734.npy,"(1024, 1280, 3)","(1, 1024, 1280)","(1024, 1280)","(1024, 1280)",True,ok
13742.png,13742.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
13744.png,13744.npy,"(512, 512, 3)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
13785.png,13785.npy,"(1024, 1024)","(2, 1024, 1024)","(1024, 1024)","(2, 1024)",False,shape_mismatch
13799.png,13799.npy,"(100, 742, 3)","(1, 100, 742)","(100, 742)","(100, 742)",True,ok
13813.png,13813.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
13839.png,13839.npy,"(351, 694, 3)","(3, 351, 694)","(351, 694)","(3, 351)",False,shape_mismatch
13846.png,13846.npy,"(467, 417, 3)","(1, 467, 417)","(467, 417)","(467, 417)",True,ok
1385.png,1385.npy,"(520, 696, 4)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
1386.png,1386.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
13863.png,13863.npy,"(1024, 1280, 3)","(1, 1024, 1280)","(1024, 1280)","(1024, 1280)",True,ok
13893.png,13893.npy,"(184, 1264, 3)","(1, 184, 1264)","(184, 1264)","(184, 1264)",True,ok
13898.png,13898.npy,"(512, 700, 3)","(2, 512, 700)","(512, 700)","(2, 512)",False,shape_mismatch
13905.png,13905.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
13920.png,13920.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
13957.png,13957.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
13971.png,13971.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
13986.png,13986.npy,"(1956, 1398, 3)","(2, 1956, 1398)","(1956, 1398)","(2, 1956)",False,shape_mismatch
13989.png,13989.npy,"(260, 347, 4)","(1, 260, 347)","(260, 347)","(260, 347)",True,ok
14010.png,14010.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
14048.png,14048.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
14070.png,14070.npy,"(1024, 1024)","(1, 1024, 1024)","(1024, 1024)","(1024, 1024)",True,ok
14087.png,14087.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
14094.png,14094.npy,"(512, 514, 3)","(1, 512, 514)","(512, 514)","(512, 514)",True,ok
14101.png,14101.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
14111.png,14111.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
14114.png,14114.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
14123.png,14123.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
14153.png,14153.npy,"(512, 512)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
14170.png,14170.npy,"(263, 306, 3)","(1, 263, 306)","(263, 306)","(263, 306)",True,ok
14184.png,14184.npy,"(520, 696, 4)","(2, 520, 696)","(520, 696)","(2, 520)",False,shape_mismatch
1419.png,1419.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
14203.png,14203.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
14205.png,14205.npy,"(77, 984, 3)","(1, 77, 984)","(77, 984)","(77, 984)",True,ok
14227.png,14227.npy,"(528, 512, 3)","(1, 528, 512)","(528, 512)","(528, 512)",True,ok
14324.png,14324.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
14331.png,14331.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
14371.png,14371.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
14389.png,14389.npy,"(232, 608, 3)","(1, 232, 608)","(232, 608)","(232, 608)",True,ok
14401.png,14401.npy,"(67, 398, 3)","(1, 67, 398)","(67, 398)","(67, 398)",True,ok
14403.png,14403.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
14436.png,14436.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
14462.png,14462.npy,"(424, 375, 3)","(1, 424, 375)","(424, 375)","(424, 375)",True,ok
14478.png,14478.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
14498.png,14498.npy,"(256, 256, 4)","(2, 256, 256)","(256, 256)","(2, 256)",False,shape_mismatch
14506.png,14506.npy,"(520, 696, 3)","(1, 520, 696)","(520, 696)","(520, 696)",True,ok
14594.png,14594.npy,"(1200, 1600, 3)","(3, 1200, 1600)","(1200, 1600)","(3, 1200)",False,shape_mismatch
14605.png,14605.npy,"(1912, 2568)","(1, 1912, 2568)","(1912, 2568)","(1912, 2568)",True,ok
14608.png,14608.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
14618.png,14618.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
14622.png,14622.npy,"(666, 1000, 3)","(2, 666, 1000)","(666, 1000)","(2, 666)",False,shape_mismatch
14624.png,14624.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
14664.png,14664.npy,"(512, 640, 4)","(2, 512, 640)","(512, 640)","(2, 512)",False,shape_mismatch
1467.png,1467.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
14690.png,14690.npy,"(666, 1000, 3)","(1, 666, 1000)","(666, 1000)","(666, 1000)",True,ok
14692.png,14692.npy,"(1200, 1600, 3)","(1, 1200, 1600)","(1200, 1600)","(1200, 1600)",True,ok
14700.png,14700.npy,"(512, 512, 4)","(1, 512, 512)","(512, 512)","(512, 512)",True,ok
14710.png,14710.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
14716.png,14716.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
14720.png,14720.npy,"(360, 360, 4)","(1, 360, 360)","(360, 360)","(360, 360)",True,ok
14747.png,14747.npy,"(256, 256, 4)","(1, 256, 256)","(256, 256)","(256, 256)",True,ok
14770.png,14770.npy,"(96, 517, 3)","(1, 96, 517)","(96, 517)","(96, 517)",True,ok
14776.png,14776.npy,"(107, 534, 3)","(1, 107, 534)","(107, 534)","(107, 534)",True,ok
1482.png,1482.npy,"(1136, 1445, 3)","(4, 1136, 1445)","(1136, 1445)","(4, 1136)",False,shape_mismatch
14820.png,14820.npy,"(419, 1608, 3)","(1, 419, 1608)","(419, 1608)","(419, 1608)",True,ok
14822.png,14822.npy,"(256, 320, 4)","(1, 256, 320)","(256, 320)","(256, 320)",True,ok
14829.png,14829.npy,"(1200, 1600, 3)","(2, 1200, 1600)","(1200, 1600)","(2, 1200)",False,shape_mismatch
14868.png,14868.npy,"(512, 687, 3)","(1, 512, 687)","(512, 687)","(512, 687)",True,ok
