image_id,n_samples,n_classes,classes
11698,2,2,"authentic,forged"
11708,2,2,"authentic,forged"
1173,2,2,"authentic,forged"
1174,2,2,"authentic,forged"
11740,2,2,"authentic,forged"
11747,2,2,"authentic,forged"
11761,2,2,"authentic,forged"
11854,2,2,"authentic,forged"
11904,2,2,"authentic,forged"
11910,2,2,"authentic,forged"
11919,2,2,"authentic,forged"
11942,2,2,"authentic,forged"
11954,2,2,"authentic,forged"
11964,2,2,"authentic,forged"
11985,2,2,"authentic,forged"
1201,2,2,"authentic,forged"
12019,2,2,"authentic,forged"
12046,2,2,"authentic,forged"
12051,2,2,"authentic,forged"
12064,2,2,"authentic,forged"
12073,2,2,"authentic,forged"
12115,2,2,"authentic,forged"
12124,2,2,"authentic,forged"
12143,2,2,"authentic,forged"
12149,2,2,"authentic,forged"
12184,2,2,"authentic,forged"
12244,2,2,"authentic,forged"
1225,2,2,"authentic,forged"
12261,2,2,"authentic,forged"
12262,2,2,"authentic,forged"
12265,2,2,"authentic,forged"
12289,2,2,"authentic,forged"
12298,2,2,"authentic,forged"
12299,2,2,"authentic,forged"
12300,2,2,"authentic,forged"
12307,2,2,"authentic,forged"
12355,2,2,"authentic,forged"
12363,2,2,"authentic,forged"
12364,2,2,"authentic,forged"
12366,2,2,"authentic,forged"
1237,2,2,"authentic,forged"
12412,2,2,"authentic,forged"
12427,2,2,"authentic,forged"
12446,2,2,"authentic,forged"
12459,2,2,"authentic,forged"
12505,2,2,"authentic,forged"
1251,2,2,"authentic,forged"
12557,2,2,"authentic,forged"
12572,2,2,"authentic,forged"
12574,2,2,"authentic,forged"
12589,2,2,"authentic,forged"
12612,2,2,"authentic,forged"
12615,2,2,"authentic,forged"
12629,2,2,"authentic,forged"
1270,2,2,"authentic,forged"
12705,2,2,"authentic,forged"
1272,2,2,"authentic,forged"
12747,2,2,"authentic,forged"
12793,2,2,"authentic,forged"
12798,2,2,"authentic,forged"
12809,2,2,"authentic,forged"
12823,2,2,"authentic,forged"
12862,2,2,"authentic,forged"
12879,2,2,"authentic,forged"
12912,2,2,"authentic,forged"
12919,2,2,"authentic,forged"
12924,2,2,"authentic,forged"
13020,2,2,"authentic,forged"
13072,2,2,"authentic,forged"
13108,2,2,"authentic,forged"
13115,2,2,"authentic,forged"
13121,2,2,"authentic,forged"
13187,2,2,"authentic,forged"
13219,2,2,"authentic,forged"
13254,2,2,"authentic,forged"
13315,2,2,"authentic,forged"
13333,2,2,"authentic,forged"
13361,2,2,"authentic,forged"
13415,2,2,"authentic,forged"
13444,2,2,"authentic,forged"
13451,2,2,"authentic,forged"
13511,2,2,"authentic,forged"
13516,2,2,"authentic,forged"
1353,2,2,"authentic,forged"
13603,2,2,"authentic,forged"
13611,2,2,"authentic,forged"
13624,2,2,"authentic,forged"
13635,2,2,"authentic,forged"
13665,2,2,"authentic,forged"
13670,2,2,"authentic,forged"
13677,2,2,"authentic,forged"
13725,2,2,"authentic,forged"
13742,2,2,"authentic,forged"
13744,2,2,"authentic,forged"
13785,2,2,"authentic,forged"
13813,2,2,"authentic,forged"
13839,2,2,"authentic,forged"
13846,2,2,"authentic,forged"
1385,2,2,"authentic,forged"
1386,2,2,"authentic,forged"
13863,2,2,"authentic,forged"
13893,2,2,"authentic,forged"
13898,2,2,"authentic,forged"
13905,2,2,"authentic,forged"
13920,2,2,"authentic,forged"
13957,2,2,"authentic,forged"
13971,2,2,"authentic,forged"
13986,2,2,"authentic,forged"
13989,2,2,"authentic,forged"
14010,2,2,"authentic,forged"
14048,2,2,"authentic,forged"
14070,2,2,"authentic,forged"
14087,2,2,"authentic,forged"
14094,2,2,"authentic,forged"
14114,2,2,"authentic,forged"
14123,2,2,"authentic,forged"
14170,2,2,"authentic,forged"
14184,2,2,"authentic,forged"
1419,2,2,"authentic,forged"
14203,2,2,"authentic,forged"
14205,2,2,"authentic,forged"
14227,2,2,"authentic,forged"
14324,2,2,"authentic,forged"
14331,2,2,"authentic,forged"
14371,2,2,"authentic,forged"
14389,2,2,"authentic,forged"
14436,2,2,"authentic,forged"
14462,2,2,"authentic,forged"
14478,2,2,"authentic,forged"
14498,2,2,"authentic,forged"
14506,2,2,"authentic,forged"
14605,2,2,"authentic,forged"
14608,2,2,"authentic,forged"
14618,2,2,"authentic,forged"
14622,2,2,"authentic,forged"
14664,2,2,"authentic,forged"
1467,2,2,"authentic,forged"
14690,2,2,"authentic,forged"
14692,2,2,"authentic,forged"
14700,2,2,"authentic,forged"
14710,2,2,"authentic,forged"
14716,2,2,"authentic,forged"
14720,2,2,"authentic,forged"
14747,2,2,"authentic,forged"
14770,2,2,"authentic,forged"
14776,2,2,"authentic,forged"
14820,2,2,"authentic,forged"
14822,2,2,"authentic,forged"
14829,2,2,"authentic,forged"
14868,2,2,"authentic,forged"
14891,2,2,"authentic,forged"
14898,2,2,"authentic,forged"
14908,2,2,"authentic,forged"
14944,2,2,"authentic,forged"
14954,2,2,"authentic,forged"
14965,2,2,"authentic,forged"
14988,2,2,"authentic,forged"
14999,2,2,"authentic,forged"
15010,2,2,"authentic,forged"
15056,2,2,"authentic,forged"
15061,2,2,"authentic,forged"
15120,2,2,"authentic,forged"
15171,2,2,"authentic,forged"
15176,2,2,"authentic,forged"
15269,2,2,"authentic,forged"
15285,2,2,"authentic,forged"
15295,2,2,"authentic,forged"
15314,2,2,"authentic,forged"
15321,2,2,"authentic,forged"
1536,2,2,"authentic,forged"
15369,2,2,"authentic,forged"
1538,2,2,"authentic,forged"
15409,2,2,"authentic,forged"
15426,2,2,"authentic,forged"
15453,2,2,"authentic,forged"
15463,2,2,"authentic,forged"
15566,2,2,"authentic,forged"
15573,2,2,"authentic,forged"
15579,2,2,"authentic,forged"
156,2,2,"authentic,forged"
15660,2,2,"authentic,forged"
15670,2,2,"authentic,forged"
15733,2,2,"authentic,forged"
1574,2,2,"authentic,forged"
1575,2,2,"authentic,forged"
15767,2,2,"authentic,forged"
15784,2,2,"authentic,forged"
15813,2,2,"authentic,forged"
15815,2,2,"authentic,forged"
15816,2,2,"authentic,forged"
15860,2,2,"authentic,forged"
1587,2,2,"authentic,forged"
15879,2,2,"authentic,forged"
15886,2,2,"authentic,forged"
15913,2,2,"authentic,forged"
15940,2,2,"authentic,forged"
15987,2,2,"authentic,forged"
15994,2,2,"authentic,forged"
16037,2,2,"authentic,forged"
16061,2,2,"authentic,forged"
1608,2,2,"authentic,forged"
16097,2,2,"authentic,forged"
16108,2,2,"authentic,forged"
16112,2,2,"authentic,forged"
16130,2,2,"authentic,forged"
16161,2,2,"authentic,forged"
16184,2,2,"authentic,forged"
16191,2,2,"authentic,forged"
16205,2,2,"authentic,forged"
16215,2,2,"authentic,forged"
16219,2,2,"authentic,forged"
16221,2,2,"authentic,forged"
1625,2,2,"authentic,forged"
16293,2,2,"authentic,forged"
16294,2,2,"authentic,forged"
16336,2,2,"authentic,forged"
16357,2,2,"authentic,forged"
16359,2,2,"authentic,forged"
1638,2,2,"authentic,forged"
1641,2,2,"authentic,forged"
16410,2,2,"authentic,forged"
16485,2,2,"authentic,forged"
16526,2,2,"authentic,forged"
16534,2,2,"authentic,forged"
16538,2,2,"authentic,forged"
16550,2,2,"authentic,forged"
16579,2,2,"authentic,forged"
16612,2,2,"authentic,forged"
16614,2,2,"authentic,forged"
16630,2,2,"authentic,forged"
16647,2,2,"authentic,forged"
16648,2,2,"authentic,forged"
16649,2,2,"authentic,forged"
16667,2,2,"authentic,forged"
16683,2,2,"authentic,forged"
16703,2,2,"authentic,forged"
16729,2,2,"authentic,forged"
16751,2,2,"authentic,forged"
16866,2,2,"authentic,forged"
16897,2,2,"authentic,forged"
16939,2,2,"authentic,forged"
16951,2,2,"authentic,forged"
16960,2,2,"authentic,forged"
16974,2,2,"authentic,forged"
17008,2,2,"authentic,forged"
17030,2,2,"authentic,forged"
17052,2,2,"authentic,forged"
17071,2,2,"authentic,forged"
17124,2,2,"authentic,forged"
17128,2,2,"authentic,forged"
17134,2,2,"authentic,forged"
17218,2,2,"authentic,forged"
17245,2,2,"authentic,forged"
17249,2,2,"authentic,forged"
17268,2,2,"authentic,forged"
17280,2,2,"authentic,forged"
17298,2,2,"authentic,forged"
17324,2,2,"authentic,forged"
17334,2,2,"authentic,forged"
17418,2,2,"authentic,forged"
17493,2,2,"authentic,forged"
17528,2,2,"authentic,forged"
17555,2,2,"authentic,forged"
17583,2,2,"authentic,forged"
17625,2,2,"authentic,forged"
17648,2,2,"authentic,forged"
17651,2,2,"authentic,forged"
17660,2,2,"authentic,forged"
17695,2,2,"authentic,forged"
17756,2,2,"authentic,forged"
17826,2,2,"authentic,forged"
1783,2,2,"authentic,forged"
17846,2,2,"authentic,forged"
17878,2,2,"authentic,forged"
17904,2,2,"authentic,forged"
17923,2,2,"authentic,forged"
17980,2,2,"authentic,forged"
18017,2,2,"authentic,forged"
18037,2,2,"authentic,forged"
1804,2,2,"authentic,forged"
18054,2,2,"authentic,forged"
1813,2,2,"authentic,forged"
18153,2,2,"authentic,forged"
18362,2,2,"authentic,forged"
18425,2,2,"authentic,forged"
18440,2,2,"authentic,forged"
18462,2,2,"authentic,forged"
18463,2,2,"authentic,forged"
18472,2,2,"authentic,forged"
1856,2,2,"authentic,forged"
1859,2,2,"authentic,forged"
18617,2,2,"authentic,forged"
18679,2,2,"authentic,forged"
18696,2,2,"authentic,forged"
187,2,2,"authentic,forged"
1873,2,2,"authentic,forged"
18760,2,2,"authentic,forged"
18781,2,2,"authentic,forged"
18788,2,2,"authentic,forged"
1879,2,2,"authentic,forged"
18877,2,2,"authentic,forged"
18929,2,2,"authentic,forged"
18940,2,2,"authentic,forged"
18971,2,2,"authentic,forged"
18995,2,2,"authentic,forged"
19054,2,2,"authentic,forged"
19074,2,2,"authentic,forged"
19116,2,2,"authentic,forged"
19121,2,2,"authentic,forged"
19162,2,2,"authentic,forged"
19193,2,2,"authentic,forged"
19253,2,2,"authentic,forged"
19281,2,2,"authentic,forged"
19294,2,2,"authentic,forged"
19332,2,2,"authentic,forged"
1940,2,2,"authentic,forged"
19467,2,2,"authentic,forged"
19512,2,2,"authentic,forged"
19554,2,2,"authentic,forged"
19563,2,2,"authentic,forged"
19593,2,2,"authentic,forged"
19620,2,2,"authentic,forged"
19621,2,2,"authentic,forged"
19622,2,2,"authentic,forged"
19627,2,2,"authentic,forged"
19633,2,2,"authentic,forged"
19668,2,2,"authentic,forged"
19684,2,2,"authentic,forged"
19709,2,2,"authentic,forged"
19728,2,2,"authentic,forged"
19734,2,2,"authentic,forged"
19775,2,2,"authentic,forged"
19777,2,2,"authentic,forged"
19844,2,2,"authentic,forged"
19847,2,2,"authentic,forged"
19895,2,2,"authentic,forged"
19915,2,2,"authentic,forged"
19933,2,2,"authentic,forged"
19953,2,2,"authentic,forged"
19964,2,2,"authentic,forged"
19986,2,2,"authentic,forged"
19993,2,2,"authentic,forged"
20009,2,2,"authentic,forged"
20010,2,2,"authentic,forged"
20097,2,2,"authentic,forged"
20103,2,2,"authentic,forged"
20144,2,2,"authentic,forged"
20151,2,2,"authentic,forged"
20193,2,2,"authentic,forged"
20270,2,2,"authentic,forged"
20282,2,2,"authentic,forged"
2032,2,2,"authentic,forged"
20342,2,2,"authentic,forged"
20343,2,2,"authentic,forged"
20379,2,2,"authentic,forged"
20391,2,2,"authentic,forged"
20401,2,2,"authentic,forged"
20409,2,2,"authentic,forged"
20490,2,2,"authentic,forged"
20498,2,2,"authentic,forged"
2050,2,2,"authentic,forged"
20507,2,2,"authentic,forged"
20518,2,2,"authentic,forged"
20541,2,2,"authentic,forged"
20569,2,2,"authentic,forged"
20578,2,2,"authentic,forged"
20587,2,2,"authentic,forged"
2064,2,2,"authentic,forged"
20645,2,2,"authentic,forged"
20662,2,2,"authentic,forged"
20736,2,2,"authentic,forged"
20749,2,2,"authentic,forged"
20751,2,2,"authentic,forged"
20752,2,2,"authentic,forged"
20753,2,2,"authentic,forged"
20755,2,2,"authentic,forged"
20764,2,2,"authentic,forged"
20768,2,2,"authentic,forged"
20795,2,2,"authentic,forged"
20800,2,2,"authentic,forged"
20816,2,2,"authentic,forged"
20828,2,2,"authentic,forged"
2083,2,2,"authentic,forged"
20833,2,2,"authentic,forged"
20850,2,2,"authentic,forged"
2087,2,2,"authentic,forged"
209,2,2,"authentic,forged"
20920,2,2,"authentic,forged"
20985,2,2,"authentic,forged"
210,2,2,"authentic,forged"
21004,2,2,"authentic,forged"
21014,2,2,"authentic,forged"
21095,2,2,"authentic,forged"
21134,2,2,"authentic,forged"
21202,2,2,"authentic,forged"
21204,2,2,"authentic,forged"
2121,2,2,"authentic,forged"
21213,2,2,"authentic,forged"
21239,2,2,"authentic,forged"
21253,2,2,"authentic,forged"
21264,2,2,"authentic,forged"
21266,2,2,"authentic,forged"
21331,2,2,"authentic,forged"
21375,2,2,"authentic,forged"
21525,2,2,"authentic,forged"
21540,2,2,"authentic,forged"
21562,2,2,"authentic,forged"
2164,2,2,"authentic,forged"
21640,2,2,"authentic,forged"
21652,2,2,"authentic,forged"
21671,2,2,"authentic,forged"
21706,2,2,"authentic,forged"
21728,2,2,"authentic,forged"
21734,2,2,"authentic,forged"
21740,2,2,"authentic,forged"
21765,2,2,"authentic,forged"
21770,2,2,"authentic,forged"
21773,2,2,"authentic,forged"
21809,2,2,"authentic,forged"
21851,2,2,"authentic,forged"
21892,2,2,"authentic,forged"
21933,2,2,"authentic,forged"
21946,2,2,"authentic,forged"
21968,2,2,"authentic,forged"
22046,2,2,"authentic,forged"
22052,2,2,"authentic,forged"
22066,2,2,"authentic,forged"
22078,2,2,"authentic,forged"
22141,2,2,"authentic,forged"
22155,2,2,"authentic,forged"
22158,2,2,"authentic,forged"
22164,2,2,"authentic,forged"
22173,2,2,"authentic,forged"
22175,2,2,"authentic,forged"
22182,2,2,"authentic,forged"
22226,2,2,"authentic,forged"
22274,2,2,"authentic,forged"
2228,2,2,"authentic,forged"
22293,2,2,"authentic,forged"
22298,2,2,"authentic,forged"
2230,2,2,"authentic,forged"
22323,2,2,"authentic,forged"
22337,2,2,"authentic,forged"
22346,2,2,"authentic,forged"
22372,2,2,"authentic,forged"
22416,2,2,"authentic,forged"
22430,2,2,"authentic,forged"
2249,2,2,"authentic,forged"
22507,2,2,"authentic,forged"
22524,2,2,"authentic,forged"
22565,2,2,"authentic,forged"
22638,2,2,"authentic,forged"
22666,2,2,"authentic,forged"
22719,2,2,"authentic,forged"
22732,2,2,"authentic,forged"
22739,2,2,"authentic,forged"
2275,2,2,"authentic,forged"
22751,2,2,"authentic,forged"
2276,2,2,"authentic,forged"
22787,2,2,"authentic,forged"
22797,2,2,"authentic,forged"
22821,2,2,"authentic,forged"
22834,2,2,"authentic,forged"
22864,2,2,"authentic,forged"
2290,2,2,"authentic,forged"
22901,2,2,"authentic,forged"
22918,2,2,"authentic,forged"
22933,2,2,"authentic,forged"
22951,2,2,"authentic,forged"
22959,2,2,"authentic,forged"
230,2,2,"authentic,forged"
23006,2,2,"authentic,forged"
23038,2,2,"authentic,forged"
2305,2,2,"authentic,forged"
23105,2,2,"authentic,forged"
23115,2,2,"authentic,forged"
23128,2,2,"authentic,forged"
23143,2,2,"authentic,forged"
23146,2,2,"authentic,forged"
23157,2,2,"authentic,forged"
23175,2,2,"authentic,forged"
23223,2,2,"authentic,forged"
23236,2,2,"authentic,forged"
23247,2,2,"authentic,forged"
23251,2,2,"authentic,forged"
2326,2,2,"authentic,forged"
2329,2,2,"authentic,forged"
23357,2,2,"authentic,forged"
23391,2,2,"authentic,forged"
23398,2,2,"authentic,forged"
23428,2,2,"authentic,forged"
23432,2,2,"authentic,forged"
23460,2,2,"authentic,forged"
23463,2,2,"authentic,forged"
23499,2,2,"authentic,forged"
23502,2,2,"authentic,forged"
23510,2,2,"authentic,forged"
23527,2,2,"authentic,forged"
2357,2,2,"authentic,forged"
23636,2,2,"authentic,forged"
23665,2,2,"authentic,forged"
23726,2,2,"authentic,forged"
23772,2,2,"authentic,forged"
23818,2,2,"authentic,forged"
23860,2,2,"authentic,forged"
23868,2,2,"authentic,forged"
23904,2,2,"authentic,forged"
23930,2,2,"authentic,forged"
23976,2,2,"authentic,forged"
24012,2,2,"authentic,forged"
24027,2,2,"authentic,forged"
24029,2,2,"authentic,forged"
24032,2,2,"authentic,forged"
24043,2,2,"authentic,forged"
24097,2,2,"authentic,forged"
24135,2,2,"authentic,forged"
24147,2,2,"authentic,forged"
24193,2,2,"authentic,forged"
24201,2,2,"authentic,forged"
24218,2,2,"authentic,forged"
24268,2,2,"authentic,forged"
2430,2,2,"authentic,forged"
24332,2,2,"authentic,forged"
24336,2,2,"authentic,forged"
24348,2,2,"authentic,forged"
24351,2,2,"authentic,forged"
2436,2,2,"authentic,forged"
24381,2,2,"authentic,forged"
24386,2,2,"authentic,forged"
24402,2,2,"authentic,forged"
24473,2,2,"authentic,forged"
24482,2,2,"authentic,forged"
2450,2,2,"authentic,forged"
24505,2,2,"authentic,forged"
24554,2,2,"authentic,forged"
24555,2,2,"authentic,forged"
24578,2,2,"authentic,forged"
24600,2,2,"authentic,forged"
24606,2,2,"authentic,forged"
24615,2,2,"authentic,forged"
24635,2,2,"authentic,forged"
24654,2,2,"authentic,forged"
24676,2,2,"authentic,forged"
24682,2,2,"authentic,forged"
24686,2,2,"authentic,forged"
24696,2,2,"authentic,forged"
24736,2,2,"authentic,forged"
24749,2,2,"authentic,forged"
24755,2,2,"authentic,forged"
2476,2,2,"authentic,forged"
24770,2,2,"authentic,forged"
24795,2,2,"authentic,forged"
24867,2,2,"authentic,forged"
24894,2,2,"authentic,forged"
24912,2,2,"authentic,forged"
24934,2,2,"authentic,forged"
24937,2,2,"authentic,forged"
24960,2,2,"authentic,forged"
24980,2,2,"authentic,forged"
25001,2,2,"authentic,forged"
25003,2,2,"authentic,forged"
25022,2,2,"authentic,forged"
2506,2,2,"authentic,forged"
25064,2,2,"authentic,forged"
25067,2,2,"authentic,forged"
25124,2,2,"authentic,forged"
25142,2,2,"authentic,forged"
25245,2,2,"authentic,forged"
25285,2,2,"authentic,forged"
25311,2,2,"authentic,forged"
2534,2,2,"authentic,forged"
25340,2,2,"authentic,forged"
25344,2,2,"authentic,forged"
25351,2,2,"authentic,forged"
25356,2,2,"authentic,forged"
25388,2,2,"authentic,forged"
25390,2,2,"authentic,forged"
25443,2,2,"authentic,forged"
25450,2,2,"authentic,forged"
25458,2,2,"authentic,forged"
25472,2,2,"authentic,forged"
25486,2,2,"authentic,forged"
25502,2,2,"authentic,forged"
25525,2,2,"authentic,forged"
25552,2,2,"authentic,forged"
25555,2,2,"authentic,forged"
25570,2,2,"authentic,forged"
25638,2,2,"authentic,forged"
25654,2,2,"authentic,forged"
25715,2,2,"authentic,forged"
25749,2,2,"authentic,forged"
25764,2,2,"authentic,forged"
2577,2,2,"authentic,forged"
25861,2,2,"authentic,forged"
25907,2,2,"authentic,forged"
25908,2,2,"authentic,forged"
25957,2,2,"authentic,forged"
25981,2,2,"authentic,forged"
26015,2,2,"authentic,forged"
26023,2,2,"authentic,forged"
26035,2,2,"authentic,forged"
26049,2,2,"authentic,forged"
26119,2,2,"authentic,forged"
26121,2,2,"authentic,forged"
26140,2,2,"authentic,forged"
26148,2,2,"authentic,forged"
26200,2,2,"authentic,forged"
26208,2,2,"authentic,forged"
26211,2,2,"authentic,forged"
2622,2,2,"authentic,forged"
26252,2,2,"authentic,forged"
26292,2,2,"authentic,forged"
26329,2,2,"authentic,forged"
26335,2,2,"authentic,forged"
26370,2,2,"authentic,forged"
26430,2,2,"authentic,forged"
26435,2,2,"authentic,forged"
26436,2,2,"authentic,forged"
26442,2,2,"authentic,forged"
26461,2,2,"authentic,forged"
26477,2,2,"authentic,forged"
26492,2,2,"authentic,forged"
26499,2,2,"authentic,forged"
26523,2,2,"authentic,forged"
26560,2,2,"authentic,forged"
2657,2,2,"authentic,forged"
26583,2,2,"authentic,forged"
26606,2,2,"authentic,forged"
26644,2,2,"authentic,forged"
26730,2,2,"authentic,forged"
26766,2,2,"authentic,forged"
26868,2,2,"authentic,forged"
26894,2,2,"authentic,forged"
26929,2,2,"authentic,forged"
26977,2,2,"authentic,forged"
27023,2,2,"authentic,forged"
27034,2,2,"authentic,forged"
27061,2,2,"authentic,forged"
27091,2,2,"authentic,forged"
27148,2,2,"authentic,forged"
27168,2,2,"authentic,forged"
27195,2,2,"authentic,forged"
27284,2,2,"authentic,forged"
27300,2,2,"authentic,forged"
27312,2,2,"authentic,forged"
27409,2,2,"authentic,forged"
27419,2,2,"authentic,forged"
27454,2,2,"authentic,forged"
27462,2,2,"authentic,forged"
27586,2,2,"authentic,forged"
27606,2,2,"authentic,forged"
27620,2,2,"authentic,forged"
27639,2,2,"authentic,forged"
27694,2,2,"authentic,forged"
27705,2,2,"authentic,forged"
27807,2,2,"authentic,forged"
27822,2,2,"authentic,forged"
27849,2,2,"authentic,forged"
27862,2,2,"authentic,forged"
27889,2,2,"authentic,forged"
27896,2,2,"authentic,forged"
27929,2,2,"authentic,forged"
27957,2,2,"authentic,forged"
28002,2,2,"authentic,forged"
28011,2,2,"authentic,forged"
28014,2,2,"authentic,forged"
28059,2,2,"authentic,forged"
28061,2,2,"authentic,forged"
28081,2,2,"authentic,forged"
28195,2,2,"authentic,forged"
28209,2,2,"authentic,forged"
28213,2,2,"authentic,forged"
28226,2,2,"authentic,forged"
28245,2,2,"authentic,forged"
28248,2,2,"authentic,forged"
28251,2,2,"authentic,forged"
28264,2,2,"authentic,forged"
28279,2,2,"authentic,forged"
28283,2,2,"authentic,forged"
28307,2,2,"authentic,forged"
28310,2,2,"authentic,forged"
28355,2,2,"authentic,forged"
28390,2,2,"authentic,forged"
28412,2,2,"authentic,forged"
28449,2,2,"authentic,forged"
28465,2,2,"authentic,forged"
28469,2,2,"authentic,forged"
28496,2,2,"authentic,forged"
28548,2,2,"authentic,forged"
28559,2,2,"authentic,forged"
28571,2,2,"authentic,forged"
28578,2,2,"authentic,forged"
28602,2,2,"authentic,forged"
28614,2,2,"authentic,forged"
28617,2,2,"authentic,forged"
28714,2,2,"authentic,forged"
28800,2,2,"authentic,forged"
28818,2,2,"authentic,forged"
28878,2,2,"authentic,forged"
28879,2,2,"authentic,forged"
28904,2,2,"authentic,forged"
28921,2,2,"authentic,forged"
28922,2,2,"authentic,forged"
28928,2,2,"authentic,forged"
28949,2,2,"authentic,forged"
2896,2,2,"authentic,forged"
28962,2,2,"authentic,forged"
28965,2,2,"authentic,forged"
28971,2,2,"authentic,forged"
28972,2,2,"authentic,forged"
29010,2,2,"authentic,forged"
29025,2,2,"authentic,forged"
29076,2,2,"authentic,forged"
29083,2,2,"authentic,forged"
29087,2,2,"authentic,forged"
2910,2,2,"authentic,forged"
29129,2,2,"authentic,forged"
29146,2,2,"authentic,forged"
29171,2,2,"authentic,forged"
29220,2,2,"authentic,forged"
29229,2,2,"authentic,forged"
29234,2,2,"authentic,forged"
29277,2,2,"authentic,forged"
29281,2,2,"authentic,forged"
29380,2,2,"authentic,forged"
29464,2,2,"authentic,forged"
29466,2,2,"authentic,forged"
29472,2,2,"authentic,forged"
29475,2,2,"authentic,forged"
29482,2,2,"authentic,forged"
29503,2,2,"authentic,forged"
29508,2,2,"authentic,forged"
29524,2,2,"authentic,forged"
29535,2,2,"authentic,forged"
29593,2,2,"authentic,forged"
29605,2,2,"authentic,forged"
29607,2,2,"authentic,forged"
2961,2,2,"authentic,forged"
2966,2,2,"authentic,forged"
29663,2,2,"authentic,forged"
29671,2,2,"authentic,forged"
29675,2,2,"authentic,forged"
29679,2,2,"authentic,forged"
29736,2,2,"authentic,forged"
29770,2,2,"authentic,forged"
29793,2,2,"authentic,forged"
29797,2,2,"authentic,forged"
298,2,2,"authentic,forged"
29894,2,2,"authentic,forged"
29899,2,2,"authentic,forged"
29912,2,2,"authentic,forged"
30015,2,2,"authentic,forged"
30023,2,2,"authentic,forged"
30040,2,2,"authentic,forged"
30045,2,2,"authentic,forged"
30050,2,2,"authentic,forged"
30060,2,2,"authentic,forged"
30100,2,2,"authentic,forged"
30217,2,2,"authentic,forged"
30232,2,2,"authentic,forged"
30235,2,2,"authentic,forged"
30283,2,2,"authentic,forged"
30297,2,2,"authentic,forged"
30298,2,2,"authentic,forged"
30307,2,2,"authentic,forged"
30308,2,2,"authentic,forged"
30344,2,2,"authentic,forged"
30354,2,2,"authentic,forged"
30389,2,2,"authentic,forged"
30408,2,2,"authentic,forged"
30476,2,2,"authentic,forged"
30572,2,2,"authentic,forged"
30614,2,2,"authentic,forged"
3062,2,2,"authentic,forged"
30624,2,2,"authentic,forged"
30629,2,2,"authentic,forged"
30634,2,2,"authentic,forged"
30649,2,2,"authentic,forged"
30715,2,2,"authentic,forged"
30716,2,2,"authentic,forged"
3073,2,2,"authentic,forged"
30748,2,2,"authentic,forged"
3087,2,2,"authentic,forged"
30871,2,2,"authentic,forged"
30881,2,2,"authentic,forged"
30883,2,2,"authentic,forged"
30909,2,2,"authentic,forged"
30914,2,2,"authentic,forged"
30923,2,2,"authentic,forged"
30931,2,2,"authentic,forged"
30950,2,2,"authentic,forged"
30996,2,2,"authentic,forged"
31040,2,2,"authentic,forged"
31077,2,2,"authentic,forged"
31086,2,2,"authentic,forged"
31089,2,2,"authentic,forged"
31098,2,2,"authentic,forged"
3110,2,2,"authentic,forged"
31156,2,2,"authentic,forged"
31168,2,2,"authentic,forged"
